"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_MA","tsm_coef_MA","tsm_med_chuv_MA","tsm_med_seco_MA","tsm_amp_chuv_MA","tsm_amp_seco_MA","prec_med_MA","prec_coef_MA","prec_med_chuv_MA","prec_med_seco_MA","prec_amp_chuv_MA","prec_amp_seco_MA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1978,1985.68400616007,0.993701781443465,9390,0,0,0,27.4406368573507,1.83578795518281,27.9252667999268,26.9821208000183,0.875410079955998,0.627975463867198,165.155,86.2245341778422,248.286842105263,21.5636363636364,409.6,64.2,1589.2582433961,3293.29093695642,1964.4477404975
1979,1985.35255781316,0.998053766634097,9600,0,0,0,27.6379177093506,1.27270904871944,27.9091885375977,27.4318560600281,0.8854885101319,1.1023159027099,123.556666666667,102.77612061704,221.451724137931,31.9774193548387,509.2,74.4,2306.07393371482,3102.29451691099,1788.03931104526
1980,1982.98160437047,0.999922121802617,10572,0,0,3,27.6029507637024,1.37514812276644,27.9502093505859,27.255318069458,0.683118820190401,0.9690246582031,138.426666666667,132.056550903311,270.142857142857,23.175,822.9,73.6,2151.51746110763,3106.83875071424,1958.61893641352
1981,1977.49722126292,0.999299418632729,11904,0,0,0,27.3322760899862,1.66077956065111,27.7787381744385,27.0034210205078,0.719367980956999,1.1009769439698,97.1366666666667,121.626487098242,198.7,29.4277777777778,440.9,79.2,1042.45457167204,3112.19669000941,2054.03238582928
1982,1968.21247272539,0.996190642244561,13406,0,1109,0,27.2642567634582,1.94300286592138,27.7525791931152,26.7820050239563,1.0606689453125,1.0346012115479,117.645,121.654047354023,251.553846153846,15.2441176470588,387.8,69.4,354.641444086515,2990.21594145494,2444.34607015787
1983,1967.95693468911,0.990613144479053,13441,0,360,0,27.6791137695313,1.56269376250971,28.0537147521973,27.2579503059387,0.791999816894499,1.0738906860352,80.2779661016949,117.581190428891,172.65652173913,21.2583333333333,325,59.3849206349206,367.519642613373,2875.439133738,1912.96034540433
1984,1985.92846794097,0.982596535771026,7623,0,1554,1205,27.530767250061,1.37709272707827,27.8632949829102,27.1210758209229,0.542282104492202,0.955684661865199,187.116666666667,100.491508335368,327.277419354839,37.2896551724138,660.9,72.2,2311.86288457541,2934.18269510125,1758.57801743432
1985,1984.83189486333,0.972182516318668,6953,0,1590,1192,27.3637232144674,1.24784841487454,27.618357925415,26.9778521537781,0.625354766845703,0.777582168579098,261.701666666667,90.8802936440506,391.397435897436,20.8380952380952,767.5,59.8,2354.24568571756,2734.31906392879,1568.39222498469
1986,1984.8908148814,0.959424647556539,6981,0,1562,1219,27.4043782234192,1.34644188489589,27.7179266357422,27.1536166191101,0.9914875030518,0.94700050354,199.753333333333,103.083030715949,322.288571428571,28.204,666.4,76.9,2033.20269183385,2829.60443062458,1660.00355830699
1987,1984.66844676919,0.944388065232377,6878,0,1374,1193,27.8005347569784,1.22759068981444,27.8549458312988,27.6696515083313,0.941724777221697,1.3312854766846,121.951666666667,112.815838030607,229.389655172414,21.4451612903226,603.4,70.4,1741.77330909945,2879.69078702971,1614.36792079351
1988,1984.59849481728,0.927149135673547,6847,0,1358,1262,27.8685039838155,2.11318291343097,28.3086333465576,27.1868290901184,0.9403381347656,0.8986282348632,192.51,85.8425690163491,292.781578947368,19.3136363636364,448.4,74.3,849.119472061248,3147.44969079145,2168.69987510064
1989,1984.51083749113,0.907795057105996,6809,0,1535,1403,27.5961661974589,1.12796449757245,27.6598003387451,27.3563482284546,0.919795989990202,0.9709358215332,207.818181818182,78.3573586644297,274.0025,31.3266666666667,717.2,68.1426955242831,1957.58575107899,2741.40507710283,1441.79211167998
1990,1984.67514201973,0.886423408154489,6881,0,1459,1269,27.4701974550883,1.59620272948312,27.8294194793701,27.0485869407654,1.1653289794922,0.7831325531006,142.226315789474,80.4402677991495,197.626315789474,31.4263157894737,419.4,74.7,1458.12860328505,2901.3847182596,1482.41762034325
1991,1984.63552570586,0.863141645908404,6863.33333333333,0,1459,1269,27.3635561943054,2.53747405803383,27.8637107086182,26.6054644584656,1.3071479797364,1.1912479400635,159.655,112.845482681203,308.393333333333,10.9166666666667,660.1,60.8,950.854984601708,3162.81567678575,2629.21889798299
1992,1985.31558520517,0.838066556178734,7201.88888888889,0,1459,1269,27.0259419123332,1.89818987638868,27.4742693328857,26.5724870681763,1.1791267395019,0.823602676391602,108.628333333333,115.066517970253,210.144827586207,13.6612903225806,354.5,57.5,1849.40732746532,2970.85198058358,1715.98319712262
1993,1985.04423446747,0.811323658800943,7056.62037037037,0,1459,1269,27.3398641268412,1.31718300158295,27.4990779876709,27.1704545021057,1.2433834075927,1.0270290374756,128.916666666667,88.3078571767445,200.191428571429,29.132,338.7,79.9,1985.06377125623,2832.10607072298,1495.13045424619
1994,1984.73402166737,0.783046571050679,6907.64043209877,0,1459,1269,27.5650601704915,1.82717189133711,27.9493238830566,27.1282688140869,0.9179801940918,1.6001777648925,185.418333333333,95.4598447497964,308.126470588235,24.9538461538462,586.7,65.5,1207.94437759523,3026.77472530653,2447.08918457969
1995,1986.21039118316,0.753376332437337,8896,0,0,0,27.3924500465393,1.69405266458806,27.6925373840332,26.8761630058289,0.777166366577198,0.930177688598601,170.591666666667,103.169264409686,291.854545454545,22.3814814814815,523.6,67.7,2177.45664611329,3164.21333613699,2255.22073835005
1996,1980.69123079962,0.722460694320087,5616.5,650,2167.5,2799,27.5737293243408,1.84611422746155,27.9774300384522,27.2207142829895,1.4300708770752,1.0034523010254,174.063333333333,111.302388821252,310.203125,18.475,652,68,705.741400303485,2757.83913692035,1909.26941346245
1997,1981.45749660786,0.690453377954393,5811.5,684,2301.5,2826,27.2972331682841,1.96213416642297,27.5413248443604,26.9613833427429,0.977664947509798,1.9972229003906,128.125,105.010336850431,245.835714285714,25.128125,325.1,79.7,794.54894219904,2788.34538919075,2242.45846413967
1998,1981.07932275426,0.657513304720526,5713.5,667,2234,2812.5,28.1630428949992,1.87948153153241,28.6373628997803,27.691797542572,1.1789531707763,1.0259532928467,137.085,106.530090692923,245.786666666667,28.3833333333333,417.1,77,539.028176699554,2910.88412484568,1964.98490728636
1999,1983.74772053042,0.623803802411014,6510,1242,2417,2851,27.8504824002584,1.6158499188319,28.2338535308838,27.3443709373474,0.476716995239201,1.2007751464844,180.476666666667,99.113167853071,297.582857142857,16.528,580.4,67.2,1160.30726518309,2909.93985536263,2083.00583646379
2000,1981.83442783202,0.58949179155989,5913,811,2280,2822,27.953956413269,1.47549372951754,28.3065277862549,27.6454399108887,0.887580871581999,1.1281414031982,182.585,91.5120849044262,286.794444444444,26.2708333333333,522.1,76.8,848.160658301846,2790.23824406149,1896.22464718884
2001,1968.38626185322,0.554746955881304,3441,202.5,1238.5,2000,27.6508114814758,1.82194987949989,27.9766381072998,27.098043346405,1.0782432556152,0.947706222534201,171.878333333333,101.783841811415,290.617647058824,16.6038461538462,508.7,58.6,161.854153150449,2037.79767894752,1229.66612348221
2002,1968.11006295951,0.519740900950844,3403,199,1235,1969,27.7103020985921,1.44017751412223,27.9852052307129,27.361141872406,0.7908916473388,1.2630157470703,153.976666666667,105.619035801148,272.790625,18.1892857142857,511.6,65.3,197.947135438569,1980.10064874013,1173.37852110364
2003,1972.98564896374,0.484646305307353,4123,171,1523.5,2428.5,28.0864524841309,1.70657233891677,28.5033657073975,27.6842274665833,1.1345901489258,1.1846942901611,167.551666666667,106.222850067778,304.348387096774,21.3206896551724,501.8,68.5,230.409570309498,2368.16928070759,1713.56024837345
2004,1973.3023629448,0.449636068176264,4174,172,1542.5,2459.5,27.9410896619161,2.01590778403917,28.4497216796875,27.4546399116516,1.2531127929688,0.794313430786101,173.905,99.3708184567758,290.723529411765,21.1423076923077,504.1,78,200.930559015383,2424.10107297167,1641.35113062117
2005,1977.40256513458,0.414882458019471,4900.5,391.5,1859,2650,28.0053764661153,1.84004380558537,28.4388027954102,27.4665459632874,0.989698410034201,1.2539691925048,152.161666666667,94.1391589568583,256.541176470588,15.6653846153846,371.4,43.2,381.185377429421,2609.40599771765,1984.6931948909
2006,1978.92509364751,0.380556266097818,5212,534.5,2014.5,2663,27.9033476193746,1.88538914975278,28.3553806304932,27.5335917472839,1.3772144317627,1.0864734649658,164.185,108.005768075164,295.429032258065,23.8896551724138,589.5,71.6,448.70832745135,2733.66690725689,2189.39384391632
2007,1980.29996018142,0.346825969195469,5522,565,2135,2822,27.9460235595703,1.95452399496743,28.4749196624756,27.3252721786499,0.476268768310501,1.2275829315185,145.173333333333,121.442465329607,311.157692307692,18.2441176470588,470.3,76.4,594.488852506223,2796.23564892782,2363.96051609388
2008,1980.65955058633,0.313856905595594,5608.73002136499,0,0,0,28.0128545443217,1.30951227795498,28.3035617828369,27.7236585617065,0.7847290039063,0.986589431762699,196.11,109.437129752717,368.853333333333,23.3666666666667,646.1,75.4,894.871083814941,2665.46719250888,2082.6280327631
2009,1981.03133531946,0.281810468319621,5701.31788061519,0,0,0,27.8777684847514,1.49652111908006,28.153888092041,27.5004261016846,0.9517421722412,1.0727634429932,209.195,108.688532808414,359.502941176471,12.6384615384615,718.1,71.8,872.47787398096,2712.83834409814,2299.84962738098
2010,1982.25724423186,0.250843319543787,6032.00258446402,0,0,0,28.4659383773804,2.11416957794139,28.8700191497803,27.9959047317505,1.6974563598633,1.4279022216797,132.528333333333,86.0990773612472,196.55,21.9454545454545,328.7,78.2,393.163954295156,3160.44943416307,2860.47592801095
2011,1982.63906942913,0.221106629990628,6144.83025996996,0,0,0,28.0396224339803,1.41905000504312,28.3831470489502,27.6982957839966,0.616369247436499,1.1441211700439,193.756666666667,94.1605362103193,314.242857142857,25.076,531.8,69,979.168249992829,2832.04866749996,2358.92554085375
