"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_AL","tsm_coef_AL","tsm_med_chuv_AL","tsm_med_seco_AL","tsm_amp_chuv_AL","tsm_amp_seco_AL","prec_med_AL","prec_coef_AL","prec_med_chuv_AL","prec_med_seco_AL","prec_amp_chuv_AL","prec_amp_seco_AL","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1998,1999.53632070142,0.657513304720526,1758.5,0,0,0,27.7857517401377,2.59649478966555,27.987757841746,27.3168320655823,2.1157302856445,0.629161834716697,57.5416666666667,119.170865412194,171.49,27.5552631578947,171.5,96.3,109.377537348613,294.30533900487,747.310128996133
1999,1999.58624267963,0.623803802411014,1778.5,1320.5,0,458,27.4419872760773,3.15763994214693,27.6071894963582,27.0167627334595,2.6044807434082,1.1496753692627,71.8895833333333,91.3573195299106,177.2,40.5810810810811,110.2,94.4,138.913179734121,532.334718399065,1253.01125755208
2000,1999.40886171461,0.58949179155989,2023.5,97,1471.5,455,27.4552844365438,2.72246737689899,27.5797327359517,27.033842086792,2.2539691925049,0.627761840820401,150.786363636364,85.7448522406222,234.854166666667,49.905,326.9,90.5554093567251,101.436657601529,309.023150190032,1855.01831597824
2001,1998.65609308357,0.554746955881304,2163,129.5,1546,487.5,27.4036480585734,3.08027816951856,27.5311365127563,27.050117969513,2.5612964630127,1.1734676361084,96.8609756097561,116.951085761288,220.757142857143,32.6185185185185,378.9,99.9,104.204462409046,403.246950853356,1480.86058999422
2002,1996.87008270288,0.519740900950844,2353,117.5,1706,529.5,27.3096884091695,2.79178168447451,27.4341197013855,26.9585118293762,2.2806854248047,1.0559806823731,111.025,107.470962383562,229.955555555556,39.6666666666667,379.1,98.1,127.789531223512,262.155402882828,1691.39683789397
2003,1999.55339918442,0.484646305307353,1977.5,120,1371,486.5,27.7514780362447,2.76818518714705,27.869886080424,27.3898491859436,2.3000774383545,0.814468383789098,76.3234042553191,86.1096534855278,161.114285714286,40.3515151515152,171.8,83.9,148.620637711419,410.72042786705,1428.44092965262
2004,1998.74622642998,0.449636068176264,2150,77,1502,571,27.3885547320048,2.74765954939473,27.5219271977743,27.0648193359375,2.2913780212403,0.73579788208,127.197872340426,120.142900570953,245.204761904762,31.8846153846154,590.8,90.8,76.577083414586,284.475880914622,1264.33065445018
2005,1999.37260479544,0.414882458019471,2033,166.5,1352,514.5,27.5465348561605,3.30636284245677,27.7552083333333,26.9746761322021,2.6121845245362,0.7632541656494,96.6702127659574,108.426380309651,207.0125,39.7193548387097,360.9,91.5,122.1374199866,339.435413266776,1280.32275449272
2006,1999.05229166687,0.380556266097818,1642,373,780,489.5,27.5162037213643,2.96010776255456,27.668441772461,27.3447694778442,2.2385654449463,1.1430168151856,101.875,108.59925422989,199.17,32.3785714285714,487.9,92.4,73.8101414207981,477.049095681709,802.431394596893
2007,1998.89252057657,0.346825969195469,2127.5,71.5,1628.5,427.5,27.2630080382029,3.51359480547717,27.4337097803752,26.8609447479248,2.6282844543457,1.276330947876,101.532432432432,85.1703200592663,176.827777777778,30.2,186.8,99.2,89.8861974654751,493.879570297102,1838.09250478949
2008,1996.59535650738,0.313856905595594,1366.49961051772,0,0,0,27.3704973856608,3.24575258248603,27.6525011062622,27.0442810058594,2.8437824249267,1.0167713165283,103.658974358974,129.524316095317,245.930769230769,32.5230769230769,478.6,96.8,61.3970308920343,259.766227682654,198.15120246616
2009,1996.34441067728,0.281810468319621,1346.43925251932,0,0,0,27.6497624715169,2.74308402250965,27.9241102536519,27.0926089286804,2.3696956634522,0.623264312744102,138.929787234043,113.477079773004,252.213043478261,30.3666666666667,684.8,98.9,41.9331088381915,166.177462941338,476.363735446795
2010,1997.25868826929,0.250843319543787,1423.83630539374,0,0,0,27.789700349172,3.32255281461248,28.1527687708537,27.2393021583557,2.4930191040039,1.0961322784424,122.557446808511,106.858573270722,226.535,45.537037037037,599.3,96.8,74.9874474999058,325.087517998514,486.120356106
2011,1998.81091035154,0.221106629990628,1602.13396491681,0,0,0,27.4986449082693,3.23569613232264,27.8213461240133,26.9749608039856,2.4695529937744,0.655961990356502,139.288888888889,100.712742654012,235.327272727273,47.4260869565217,494.8,97.6,77.840194063592,275.320071453488,542.086358613523
