"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PB","tsm_coef_PB","tsm_med_chuv_PB","tsm_med_seco_PB","tsm_amp_chuv_PB","tsm_amp_seco_PB","prec_med_PB","prec_coef_PB","prec_med_chuv_PB","prec_med_seco_PB","prec_amp_chuv_PB","prec_amp_seco_PB","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1987,1978.03695986313,0.944388065232377,75,0,0,0,27.7601049741109,2.21620449931185,28.0850595746721,27.187340259552,1.4935684204101,0.644214630127003,163.791666666667,102.573676538268,294.8,32.7833333333333,328.3,60.8,7.20201375242448,21.7330345969294,11.2389142369379
1988,1978.55195127695,0.927149135673547,117,0,0,0,27.9254830678304,3.01561062800797,28.338512965611,27.1572117805481,2.0146446228027,0.872287750244197,163.281818181818,85.365833310745,276.166666666667,27.82,206.5,29.4,8.23641880154425,28.0992853297217,15.7578072669208
1989,1978.28480605818,0.907795057105996,95,0,0,0,27.8264005978902,1.92876780524388,28.0621948242187,27.3759126663208,1.4103298187256,0.467939376830998,209.05,102.181278437969,325.383333333333,34.55,582.3,48.5,7.75100792916559,26.4683731153221,13.5193333104906
1990,1978.32157334879,0.886423408154489,98,0,0,0,27.4722541173299,2.31403983524221,27.7331823621478,27.0288510322571,2.004322052002,0.854667663574201,171.415384615385,95.1098141753906,293.342857142857,29.1666666666667,322.5,53.5,8.75215832393563,24.4556562241129,13.1902518677957
1991,1978.35416567337,0.863141645908404,100.666666666667,0,0,0,27.2881846427917,3.36906317554553,27.6922912597656,26.5323843955994,2.5960750579834,0.871345520019599,132.058333333333,79.4356561347881,187.3375,21.5,253,27.4,6.8171643477524,22.3734131216826,12.5116611463065
1992,1978.38599717706,0.838066556178734,103.277777777778,0,0,0,26.9496350288391,2.82183414510367,27.3070204598563,26.2490119934082,1.7623729705811,0.778234481811499,135.758333333333,92.9118505041879,193.3375,20.6,333.9,35.3,7.61956466594058,26.4269923754569,13.6505802157384
1993,1978.55083897095,0.811323658800943,116.907407407407,0,0,0,27.2060090700785,2.10594580710411,27.440210887364,26.8308711051941,1.5574417114258,0.932918548584002,46.8444444444444,168.065194041019,184.14,15.6409090909091,221,61.3,11.3728724672098,33.8309681457295,15.5173143562889
1994,1979.03707458929,0.783046571050679,158.225308641975,0,0,0,27.3230166435242,2.88245273465387,27.6665687561035,26.5804991722107,2.1764430999756,0.465652465820298,115.668421052632,144.242256425486,249.875,18.0636363636364,631.6,65.4,15.2490977903323,40.6004174487585,19.4133422911352
1995,1978.70710857496,0.753376332437337,130,0,0,0,27.2694708506266,3.05528875209279,27.6376607077462,26.5261344909668,2.0911026000977,0.868036270141598,76.4483333333333,127.885609968379,176.190909090909,18.7026315789474,411.7,62.9,12.4432879304283,32.9621787588155,16.2516935701905
1996,1979.18899087164,0.722460694320087,171.5,17.15,23.21875,44.59,27.5423722267151,2.43934523767595,27.882374899728,27.029504776001,1.7683753967285,1.1232261657715,98.8916666666667,105.470306119202,172.648387096774,20.048275862069,426.4,68.5,17.4363885531112,43.5570977333478,22.5065739141767
