"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_SC","tsm_coef_SC","tsm_med_chuv_SC","tsm_med_seco_SC","tsm_amp_chuv_SC","tsm_amp_seco_SC","prec_med_SC","prec_coef_SC","prec_med_chuv_SC","prec_med_seco_SC","prec_amp_chuv_SC","prec_amp_seco_SC","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1996,1980.5201496472,0.722460694320087,3372.5,468.5,2863.5,40.5,22.7400286992391,12.1128119083613,25.9652090072632,21.2765885591507,1.4362239837647,6.4976596832275,146.766666666667,49.7450066786363,180.994117647059,63.6428571428571,231.1,98.7,630.117766042816,113.529783961238,2215.34618624996
1997,1980.2250637314,0.690453377954393,3252,1124,2042.5,85.5,22.3158891201019,11.244575825295,25.6677153905232,20.884779214859,0.7609043121338,4.8434410095215,180.39375,68.4490022568163,246.106451612903,60.5647058823529,500.1,83.9,1004.99737899162,118.07618258399,2298.19109590883
1998,1982.70379595025,0.657513304720526,4394.5,1135.5,3007.5,251.5,22.5885230700175,9.9402760099656,25.4558744430542,21.2665078639984,1.4534454345703,4.2592525482178,182.20625,45.7955460025501,209.926315789474,76.87,245.8,51,782.682240251764,180.383105284053,2376.44329579574
1999,1976.11406286167,0.623803802411014,1821,309.5,1489,22.5,22.4354756673177,12.0310494241202,26.0363858540853,20.9187576770783,0.880334854125998,5.8096866607666,128.913888888889,51.1096060600686,179.426315789474,72.4588235294118,144.4,82,379.523688433014,86.5189325429352,1203.20111444438
2000,1974.29146079134,0.58949179155989,1286.5,391,801.5,94,22.583011229833,11.5739772235666,25.4375111262003,21.1868352890015,0.632673263549798,6.1136875152588,146.394444444444,47.9036694413631,180.5625,78.0583333333333,238.4,75.8,413.127778503816,73.7280152315559,843.807779051768
2001,1977.84873192898,0.554746955881304,2378.5,623.5,1637.5,117.5,23.5173038641612,11.2869841659374,27.2739992141723,22.0581334829331,1.468563079834,5.6543674468994,105.45,83.496064015134,196.4875,44.7583333333333,137.1,106.6,432.057293833589,89.7001878849498,1511.15059638061
2002,1979.52585762134,0.519740900950844,2978.5,706.5,2136.5,135.5,23.4251239299774,9.72107752861801,26.1718018849691,22.1979026794434,1.236608505249,5.0523147583008,146.315,48.5433835165983,179.183333333333,69.6222222222222,195.7,99.3,582.451763245359,122.265417326509,2093.14316319976
2003,1974.61454511285,0.484646305307353,1378,397,864,117,23.0690825780233,11.9205825899236,26.8213640848796,21.537707567215,1.5586757659912,5.6430797576905,114.050847457627,60.1829987912968,168.396296296296,68.196875,214.1,99.8,428.591537374092,104.763648202968,848.293779777249
2004,1974.43856332869,0.449636068176264,1328,401,824,103,22.5092980861664,9.66988987912488,25.1000811258952,21.3838647603989,0.542079925537099,5.517765045166,128.94,56.2922642213306,181.696774193548,72.5448275862069,261,79.3,468.683081743604,86.7946680893688,792.737544301807
2005,1975.19071399307,0.414882458019471,1544.5,595,840.5,109,23.2462556362152,8.56041921876197,25.5139881769816,22.2384746074676,0.875917434692401,5.1917114257813,152.508333333333,50.9551306549713,186.6,78.9421052631579,259.8,72.7,510.220324261276,100.987069602741,908.644884930763
2006,1978.42250868273,0.380556266097818,2576,750,1702,124,23.2949686845144,10.9857479696009,26.6643273035685,21.8324065208435,0.789628982543999,5.7042484283447,108.121666666667,66.0412231459195,175.075,63.4861111111111,217.7,95.4,609.865672704341,153.46175700164,1296.33183582494
2007,1980.29063884818,0.346825969195469,3278.5,698,2419,161.5,23.196745077769,12.5645275288453,26.5989367167155,21.6783376932144,1.1631622314453,7.5294361114502,143.578333333333,44.9661426024486,175.970731707317,73.678947368421,227.8,102.4,718.639450693121,135.000461434364,2381.324901764
2008,1985.79019136904,0.313856905595594,7287.94735283942,0,0,0,22.6932410399119,10.0813895886209,25.6548957824707,21.4104211330414,1.0130043029785,4.6801681518555,179.68,69.8880795921066,233.992682926829,62.4789473684211,502.2,97.8,1960.30487043733,370.3709355544,5386.33546472625
2009,1985.84094654035,0.281810468319621,7529.70578847161,0,0,0,23.1985013484955,9.90846157678078,25.309560139974,22.1031962633133,1.5902309417725,5.8159160614014,162.87,61.741992290736,215.141025641026,65.7952380952381,339.6,90.9,1547.50082100252,352.10083566119,5623.57220870715
2010,1985.26753579665,0.250843319543787,6320.66077781156,0,0,0,23.1917354265849,12.4461785288907,26.9953734079997,21.5998212099075,1.4098243713379,6.5197772979737,180.72,51.3238017603512,212.593333333333,85.1,370.8,41.7,1478.29550117233,384.254009374068,2668.49540596014
2011,1985.13751951966,0.221106629990628,6167.09031786281,0,0,0,22.7006397247314,12.1458212429904,26.3273356755575,21.2175133228302,1.1122512817383,6.213083267212,191.366666666667,58.3332420214296,236.7,76.7,430.6,74.1,1624.65152495918,333.303203546957,4455.49917788191
