"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PR","tsm_coef_PR","tsm_med_chuv_PR","tsm_med_seco_PR","tsm_amp_chuv_PR","tsm_amp_seco_PR","prec_med_PR","prec_coef_PR","prec_med_chuv_PR","prec_med_seco_PR","prec_amp_chuv_PR","prec_amp_seco_PR","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1975,1989.2347989236,0.966003780192221,2784,0,0,0,22.5541075070699,10.636437989632,25.1128206253052,21.0462849934896,1.8665885925293,4.7502326965332,136.33125,46.4507363860498,180.085185185185,80.0761904761905,213.8,68.7,5.4074625905911e-06,235.560974766092,1499.79338510716
1976,1989.20498742037,0.977638548935235,2787,0,0,0,22.6264667510986,11.674802817444,25.4217667579651,20.8188250859578,2.1642589569092,5.0072345733642,140.329166666667,37.7187444308475,159.22,89.4692307692308,172.7,42.8,7.50446056155417e-06,176.46214972874,1625.67798637259
1977,1990.19112026316,0.986885992884045,2679,0,0,0,23.4955255190531,9.59532021883758,25.9931335449219,22.0148512522379,2.2161827087402,4.2764968872071,120.889583333333,56.1295351450132,179.013043478261,67.416,185.9,88.2,4.43451610369986e-05,623.113072532048,1314.23250004344
1978,1990.99811448625,0.993701781443465,2571,0,0,0,23.0989707310994,10.070656723231,25.7742509841919,21.5306908289592,1.9855976104737,4.2346305847168,107.533333333333,56.8429207250073,159.681818181818,63.4076923076923,166.1,107.4,0.000199775087390934,417.005906893553,1304.59365338484
1979,1983.23606799136,0.998053766634097,1044,0,0,0,22.4209677378337,11.002025037871,24.9210515022278,20.6650807062785,1.8917236328125,4.69633102417,91.9833333333333,76.7663990690923,158.931578947368,48.1206896551724,261,105.4,5.95952424567416,169.925221400533,772.859498135131
1980,1992.41432073977,0.999922121802617,2190,0,879,241,23.0907597541809,11.2121542322966,26.005295753479,21.8471501668294,1.6871757507324,5.8931007385253,101.645833333333,102.813792152483,207.417647058824,43.641935483871,374.3,107.7,0.0159418177394506,272.354861465221,1025.73701463975
1981,1986.9836960925,0.999299418632729,2981,7,1532,232,22.5433961550395,10.9553218528201,25.2836012840271,21.1237630844116,1.8233070373536,4.6673831939697,74.4583333333333,81.2337679852957,156.725,47.0361111111111,158.4,105.5,1.55235673038847e-07,231.101489348533,1536.64315799987
1982,1956.35692312764,0.996190642244561,4306,674,1733,551,22.7149769465128,9.56630772926807,25.1440696716308,21.4004824956258,1.1710548400879,4.9006958007812,114.33125,73.0827912356747,212.264705882353,60.6258064516129,192.8,98.2,1.80656896976643e-22,465.462359644783,1892.86689188087
1983,1981.78800095991,0.990613144479053,961,0,668,156,22.7467953364054,12.9767671304595,25.8514785766602,20.8384993871053,1.8786563873291,5.8924961090088,189.077083333333,56.0791586993312,229.737837837838,52.3090909090909,376,107,9.32873115853913,103.743453252147,720.703165099909
1984,1989.11522386061,0.982596535771026,1481,0,534,293,22.9895768165589,11.7176249987172,26.0619521141053,21.3304932912191,3.0220642089844,4.8219356536865,143.122916666667,65.9003140865924,194.889285714286,70.65,349.9,94.7,3.40171540332266,190.648676091061,1043.66815757393
1985,1985.62811854197,0.972182516318668,1197,6,635,244,22.8698496818542,10.1421716589152,25.4982624053955,21.5266208648682,1.3532829284668,5.3002777099609,81.5875,86.1781022743343,175.672727272727,53.6162162162162,296.3,107.3,5.4430814227164,289.218792534039,670.986626874429
1986,1978.20056822812,0.959424647556539,777,7,517,167,23.2055379549662,11.390252434705,26.1834421157837,21.7721026738485,0.975770950317401,6.2316074371338,136.497916666667,77.9982673275554,197.2,64.7590909090909,515,105.7,11.0663363891308,206.540545638575,473.649660945083
1987,1970.92917022066,0.944388065232377,465,0,382,83,22.8807600339254,12.2795868438229,26.1345729827881,21.351263999939,0.956201553344702,6.1220035552979,138.58125,72.5301685756434,198.257692307692,68.0545454545454,392.5,79.4,8.68719464784336,115.10166848336,407.307860129153
1988,1977.52358877392,0.927149135673547,745,4,598,143,22.5466187795003,11.9282768613642,25.6187663078308,20.8902632395427,1.7353992462158,5.228796005249,121.348936170213,78.8140160080306,200.877272727273,51.364,279.1,100.8,6.44047676901699,107.419123761761,636.254086053773
1989,1978.09582687023,0.907795057105996,772,16,599,154,22.8019369443257,11.8799645988925,25.9092960357666,21.3675349553426,1.9602966308594,5.593448638916,152.406382978723,68.4406360642699,213.280769230769,77.0380952380952,447.7,73.5,7.36807911868432,121.665581179608,634.449022389791
