"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_CE","tsm_coef_CE","tsm_med_chuv_CE","tsm_med_seco_CE","tsm_amp_chuv_CE","tsm_amp_seco_CE","prec_med_CE","prec_coef_CE","prec_med_chuv_CE","prec_med_seco_CE","prec_amp_chuv_CE","prec_amp_seco_CE","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1992,1991.28643636277,0.838066556178734,1892.55555555556,5,16,35.5,26.8932776451111,2.34158453320424,27.4215440750122,26.2797922134399,1.0371627807617,0.324850082397401,58.437037037037,164.084305936138,162.544444444444,6.38333333333333,290,26.7,5.35709574014784,27.221227529104,10.2630069324259
1993,1991.82206868419,0.811323658800943,1748.81481481481,5,16,35.5,27.2941973209381,1.69335533557084,27.5807140668233,26.9113574981689,1.0378494262696,0.7994594573975,26.9057142857143,155.307163888133,117.14,11.8666666666667,87.4,45.4,5.18752963277071,34.3903582885997,11.576084438945
1994,1991.72510278195,0.783046571050679,1547.36728395062,5,16,35.5,27.4069417317708,2.11384935476948,27.9308646519979,26.8738573074341,0.698814392089801,0.7709064483643,146.403174603175,107.921021764528,240.291891891892,12.7923076923077,541.1,56.3,6.35497918538626,19.7692318023383,11.3165207560924
1995,1990.8850749288,0.753376332437337,1379,0,0,0,27.2820169130961,2.20083013757722,27.8112516403198,26.6403631210327,0.579410552978498,0.5610046386719,95.9845238095238,133.798306052248,206.658333333333,12.9791666666667,607.1,56.6,6.15348714933712,19.6203436195459,8.89158997858123
1996,1989.84957435881,0.722460694320087,1257.5,5.22161272085783,10.2705179281799,18.7540973962491,27.4853355089823,2.16917605167496,27.9668901761373,26.9551803588867,1.3960094451904,0.385692596435501,95.4333333333333,133.503029530708,224.93125,15.7423076923077,401.3,58.1,5.3545114993997,19.306907532864,11.933061367485
1997,1986.77822791735,0.690453377954393,1019.5,4.23334725162191,8.3266743759677,15.2046141514719,27.150089263916,2.25181436164914,27.5266299247742,26.6053663253784,0.833957672119201,1.4677600860596,54.3928571428571,144.613543162403,152.472,12.8338983050847,363,55.1,4.2638712839239,15.3212621709987,7.8652931208737
1998,1987.53075491829,0.657513304720526,1069,4.4388898597193,8.7309611651883,15.942847011205,27.9864937464396,2.20434644882706,28.4718117713928,27.4147815704346,1.0965194702148,0.678400039672901,49.147619047619,151.254749764663,154.575,16.2015625,315.7,55.6,4.40821244751064,22.2685197249858,8.38092037101923
1999,1987.40578120246,0.623803802411014,1060.5,4.40359466438944,8.66153818118072,15.8160797524629,27.6868235270182,1.98831315081941,28.1317869822184,27.1540390014648,0.6942024230957,0.771306991577198,77.4297619047619,122.503622636139,181.025806451613,16.8358490566038,313.2,59.3,4.40973272065858,17.1066455013976,7.12693078739207
2000,1982.35832551734,0.58949179155989,783,3.25131034626774,6.39508193858039,11.6775015994139,27.7718064785004,1.99749308672066,28.2459999720256,27.2952850341797,0.837589263915998,0.592302322387699,137.059016393443,82.9905631611892,179.967441860465,34.5555555555556,467,54.0070410078695,3.30099074355149,10.7744411741675,6.80595564033993
2001,1974.99136093784,0.554746955881304,490,2.03466420136806,4.00203084278977,7.30775962160003,27.5185737609863,2.20840984352164,28.0335666338603,26.906149482727,0.9685153961182,0.530551910400401,81.6794871794872,193.425519333505,253.633333333333,5.25555555555556,675.6,51.5744872512213,2.09298720065618,6.71048273088006,4.23943287617887
