"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_ES","tsm_coef_ES","tsm_med_chuv_ES","tsm_med_seco_ES","tsm_amp_chuv_ES","tsm_amp_seco_ES","prec_med_ES","prec_coef_ES","prec_med_chuv_ES","prec_med_seco_ES","prec_amp_chuv_ES","prec_amp_seco_ES","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1972,1985.2560424263,0.917396951420413,1098,0,0,0,26.0218913820055,5.25933245778427,27.3677780151367,25.0282284418742,2.6458854675293,2.8180332183838,78.995652173913,70.7330105250151,147.742857142857,48.91875,113.8,71.6481319539704,68.2452077555195,22.2261796630303,970.123836613015
1973,1979.08604416174,0.935809244104226,797,0,0,0,26.3539476394653,5.69731489988729,27.8759387969971,25.4225522147285,2.086612701416,3.4818058013916,97.3,68.1086458456024,161.36,51.5428571428571,165.9,87.5,33.9962881257119,17.0869116347404,789.842273065713
1974,1971.19476624844,0.952037999977709,7304,0,0,0,26.0723286734687,5.11096745518819,27.3509246826172,25.0684795379639,1.861213684082,3.062520980835,102.8875,66.3291921142246,152.4,33.57,125.7,60.1,148.519681357359,100.383311266961,1248.93649776488
1975,1980.11244871927,0.966003780192221,845,0,0,0,25.7676536242167,5.60513484186433,27.1552651723226,24.6748070187039,2.7054195404052,2.9880924224853,114.2375,60.6592109927151,150.49375,41.725,177.6,59.9,38.0275769859878,16.4018582270392,797.778536187426
1976,1983.61798082655,0.977638548935235,1015,0,0,0,25.5818550321791,4.93348420320034,26.7484124501546,24.5520539813572,2.0121440887451,2.5107307434082,104.633333333333,82.6040764087643,181.190909090909,39.8538461538462,200.6,81.2,58.4812849767894,23.5483050351545,859.503423728076
1977,1991.98873093004,0.986885992884045,1469,0,0,0,25.8159146308899,5.14745572552248,27.1198197682699,24.8921443091498,1.7680587768555,3.1155471801758,114.679166666667,83.0278489810494,197.018181818182,45.0076923076923,236.3,80.7,75.4197825571969,31.4859917876782,1349.0225140042
1978,1983.15553104331,0.993701781443465,992,0,0,0,25.7191390461392,4.40278386983944,26.8537179311117,24.8523279825846,1.7352771759033,2.2911071777344,127.579166666667,52.6435415475552,156.71875,69.3,227.5,42,65.4151174371623,16.621051668797,745.428221508591
1979,1977.1180854895,0.998053766634097,707,40,424,0,25.58308256997,4.11872767107619,26.5017018636068,24.775295469496,1.5847148895263,2.9133834838868,92.3,124.8417325618,245.033333333333,35.025,307,70.4,46.1863235062321,24.4868841406218,451.763056150369
1980,1978.95661011048,0.999922121802617,791,34,521,13,25.7028896013896,4.73089129618255,26.9262247721354,24.8552200529311,1.4846858978271,2.9404983520508,83.2458333333333,99.5553421426171,186.0625,31.8375,153.2,56,54.9389952552339,22.4589363501224,589.328629324898
1981,1977.67042557608,0.999299418632729,732,50,511,16,25.2657717598809,5.30791454320272,26.5864639282227,24.2441730499268,1.8096981048584,3.0445346832275,72.8875,94.4261651025564,166.1,34.5058823529412,128.6,80.2,44.4182859873339,20.3755618708686,613.466985241916
1982,1981.26871883929,0.996190642244561,900,87,691,22,25.4129042095608,4.00775584530032,26.2391334533691,24.57236872779,2.5266399383544,1.7677478790283,54.1458333333333,79.9413317627601,132.675,38.44,71.6,81.8,99.8848066260098,20.9909371981721,688.857778746809
1983,1990.99969119677,0.990613144479053,1411,146,1013,31,25.8208740552266,5.03756605008018,27.1550069173177,24.9290054109361,1.7626323699951,3.0541210174561,139.2375,86.2051878854987,211.885714285714,37.53,325.9,38.8,63.8188617538425,31.4181025239356,1100.65159231463
1984,1988.86057784063,0.982596535771026,1290,62,1107,5,26.1378681924608,5.14255357563786,27.3876845041911,25.2382564544678,2.1314525604248,3.5177497863769,91.3835516643379,87.0376967397133,171.229775160321,41.6501409538174,196.418673588424,73.7507914824976,69.0971003608447,29.4987255696697,1180.4088030292
1985,2009.77802002752,0.972182516318668,3032,132,2745,59,25.734602133433,5.73955544891067,27.2337252298991,24.7490057415432,2.000846862793,3.6970176696777,147.772216487161,87.22067686934,171.074282131459,44.3258956552707,278.192298051585,71.5774055921777,106.934369752112,59.4221231896805,2667.84178023097
1986,1999.12163582539,0.959424647556539,1938,162,1684,46,26.0345775816176,5.93074193093241,27.6250839233399,24.9660535388523,2.0185489654541,3.4088573455811,96.0135148994034,81.328937191128,189.710669498518,41.6699858277012,227.43414893329,67.8796773380653,81.6266026038382,38.6684623533006,1805.48050660946
1987,1996.10303495436,0.944388065232377,1727,94,1538,65,26.2804319593642,4.58638463829594,27.4931821187337,25.4640973409017,1.5692272186279,3.2019271850586,109.283439586724,87.5018937222186,174.886575556276,40.5716965344685,318.463672185221,77.3045919067215,92.421434900408,37.371912056076,1593.50138460907
1988,1992.30760854566,0.927149135673547,1488,15,1447,20,26.0552395714654,6.0085364324602,27.6758948008219,24.9896133210924,2.1930751800537,4.048511505127,107.814018360681,88.6184115405449,213.26115530303,38.9855300195953,254.457864955599,72.946688957476,54.5562023825483,33.4987444601927,1439.89207965724
1989,1992.9213320599,0.907795057105996,1525,29,1467,23,25.7238282097711,5.87817389285429,27.2333806355794,24.6843717363146,2.4335556030274,3.320634841919,139.977945903192,74.5132192032825,167.566456033214,41.0928535353535,232.281123429716,76.8295675986963,62.7978907446635,29.7775018369121,1493.84885627673
